348.15	203	2.6	1.00E-03
348.15	405	5.04	1.00E-03
348.15	608	7.35	1.00E-03
348.15	811	9.54	1.00E-03
348.15	1013	1.17	1.00E-02

366.48	3.4	3.74	1.00E-05
366.48	13.8	2	1.00E-04
366.48	13.8	1.8	1.00E-04
366.48	27.6	3.7	1.00E-04
366.48	31	4.26	1.00E-04
366.48	55.2	7.5	1.00E-04
366.48	65.5	8.93	1.00E-04
366.48	110.3	1.5	1.00E-03
366.48	137.9	1.84	1.00E-03

373.15	21	3.01	1.00E-04
373.15	25	3.7	1.00E-04
373.15	31	4.48	1.00E-04
373.15	42	5.94	1.00E-04
373.15	42	5.17	1.00E-04
373.15	51	7.3	1.00E-04
373.15	57	8.2	1.00E-04
373.15	62	8.77	1.00E-04
373.15	62	7.61	1.00E-04
373.15	82	1.15	1.00E-03
373.15	82	1.02	1.00E-03
373.15	101	1.45	1.00E-03
373.15	102	1.32	1.00E-03
373.15	120.9	1.75	1.00E-03
373.15	153.7	2.23	1.00E-03
373.15	203	2.85	1.00E-03
373.15	405	5.46	1.00E-03
373.15	608	7.96	1.00E-03
373.15	811	1.03	1.00E-02
373.15	1013	1.25	1.00E-02

398.15	23	3.44	1.00E-04
398.15	33	5.04	1.00E-04
398.15	43	6.54	1.00E-04
398.15	52	7.18	1.00E-04
398.15	63	9.32	1.00E-04
398.15	82	1.13	1.00E-03
398.15	83	1.21	1.00E-03
398.15	87	1.21	1.00E-03
398.15	102	1.43	1.00E-03
			
