1.26866	0.391222	1.12399	2.86197	-1	-1	
1.22671	0.350638	1.17441	3.30446	4.48189	-1	
1.18368	0.300166	1.16702	3.49456	5.31223	-1	
1.14019	0.245822	1.13658	3.58376	5.78844	-1	
1.09662	0.189585	1.09466	3.62255	6.0876	5.38445	
1.05325	0.132306	1.04623	3.63259	6.28565	6.0962	
1.00956	0.0744507	0.993769	3.62467	6.42052	6.6185	
0.966363	0.0162607	0.938663	3.60483	6.5133	7.01452	
0.922954	0.0421672	0.881743	3.57668	6.57663	7.32216	
0.879551	0.100689	0.823509	3.54248	6.61858	7.56554	
0.836609	0.159256	0.76435	3.5038	6.6445	7.76075	
0.793704	0.21786	0.704464	3.46167	6.65812	7.91891	
0.750715	0.276446	0.64409	3.41686	6.66208	8.04798	
0.707825	0.335107	0.583266	3.36992	6.65834	8.1538	
0.664974	0.393558	0.522181	3.32127	6.64835	8.24072	
0.622852	0.451989	0.460844	3.27125	6.63322	8.3121	
0.58029	0.510353	0.399339	3.22005	6.61383	8.37054	
0.538066	0.568729	0.337665	3.16792	6.59087	8.41809	
0.495764	0.627005	0.275954	3.11498	6.56487	8.4564	
0.453831	0.684991	0.214137	3.0614	6.53629	8.48679	
0.411939	0.743163	0.152264	3.00723	6.50548	8.51035	
0.369671	0.8011	0.0904137	2.9526	6.47275	8.52798	
0.327922	0.858922	0.0285267	2.89755	6.43835	8.54044	
0.286216	0.916691	0.0333468	2.84216	6.40248	8.54834	
0.244968	0.974203	0.0952119	2.78645	6.36533	8.55223	
0.203911	1.03179	0.157084	2.73051	6.32704	8.55255	
0.162305	1.08921	0.218836	2.67436	6.28775	8.54969	
0.121541	1.14662	0.28057	2.61801	6.24757	8.544	
0.0801141	1.2038	0.342285	2.5615	6.2066	8.53575	
0.123541	1.48824	0.649881	2.27736	5.99238	8.46411	
0.323399	1.76963	0.955712	1.99189	5.76742	8.35615	
0.520743	2.04854	1.25948	1.70629	5.53593	8.2245	
0.716538	2.32478	1.56103	1.42124	5.30041	8.07673	
0.907743	2.59799	1.86023	1.13721	5.0625	7.91767	
1.09818	2.8683	2.15703	0.854456	4.82325	7.75051	
1.28484	3.13629	2.45159	0.573266	4.58336	7.57749	
1.46758	3.4013	2.74357	0.293701	4.3434	7.40019	
1.64972	3.66357	3.03328	0.0158297	4.10374	7.21976	
1.82954	3.92303	3.32043	0.26015	3.86466	7.03708	
2.00417	4.18025	3.60529	0.53426	3.62636	6.85279	
2.17972	4.43444	3.88756	0.80646	3.38904	6.66743	
2.35087	4.68648	4.16751	1.07664	3.15278	6.48138	
2.51991	4.93588	4.44522	1.34497	2.91774	6.29498	
2.6876	5.18231	4.72039	1.61129	2.68395	6.10849	
2.85155	5.42606	4.99316	1.8756	2.45151	5.92211	
3.01438	5.66719	5.26347	2.13786	2.22043	5.73602	
3.17293	5.9064	5.53142	2.39816	1.99083	5.55038	
3.33137	6.1429	5.79718	2.6565	1.76264	5.36528	
3.48759	6.37726	6.0605	2.91268	1.53597	5.18082	
3.64119	6.60828	6.32152	3.16704	1.31082	4.9971	
3.78926	6.8377	6.57997	3.4193	1.08717	4.81417	
3.93979	7.06451	6.83628	3.66965	0.86513	4.63212	
4.0863	7.28806	7.09054	3.91791	0.644571	4.451	
4.23218	7.50978	7.34215	4.16419	0.425622	4.27082	
4.37182	7.7295	7.59186	4.40854	0.208246	4.09165	
4.51342	7.94713	7.83916	4.65095	0.0075776	3.9135	
4.65128	8.16228	8.08409	4.89135	0.221848	3.73642	
4.7893	8.37394	8.32704	5.12981	0.434479	3.56044	
4.92455	8.58522	8.56764	5.36638	0.645555	3.38551	
5.05512	8.79317	8.80616	5.60087	0.855035	3.21175	
5.18918	8.99858	9.04247	5.83345	1.06296	3.0391	
5.31808	9.20207	9.27632	6.06417	1.2693	2.86758	
5.44281	9.40403	9.50806	6.29294	1.47404	2.69725	
